
Statistical table extracted on October 25, 2024 (09:35:52)
http://www.ine.pt



Data reference period;Geographic localization;Disembarked passengers (No.) in airports by Geographic localization, Type of traffic and Nature of traffic -  Monthly;
;;Type of traffic;
;;Total;
;;Nature of traffic;
;;Total;
;;No. ;
February 2012;LPPT: Lisboa;471286;
January 2012;LPPT: Lisboa;474322;
December 2011;LPPT: Lisboa;539769;
November 2011;LPPT: Lisboa;467661;
October 2011;LPPT: Lisboa;656939;
September 2011;LPPT: Lisboa;724610;
August 2011;LPPT: Lisboa;787034;
July 2011;LPPT: Lisboa;809195;
June 2011;LPPT: Lisboa;673408;
May 2011;LPPT: Lisboa;640412;
April 2011;LPPT: Lisboa;658018;
March 2011;LPPT: Lisboa;539981;
February 2011;LPPT: Lisboa;424964;
January 2011;LPPT: Lisboa;469162;
December 2010;LPPT: Lisboa;526591;
November 2010;LPPT: Lisboa;463033;
October 2010;LPPT: Lisboa;639773;
September 2010;LPPT: Lisboa;677864;
August 2010;LPPT: Lisboa;776465;
July 2010;LPPT: Lisboa;767036;
June 2010;LPPT: Lisboa;614238;
May 2010;LPPT: Lisboa;583693;
April 2010;LPPT: Lisboa;549987;
March 2010;LPPT: Lisboa;519054;
February 2010;LPPT: Lisboa;438342;
January 2010;LPPT: Lisboa;445975;
December 2009;LPPT: Lisboa;509436;
November 2009;LPPT: Lisboa;442830;
October 2009;LPPT: Lisboa;573306;
September 2009;LPPT: Lisboa;605890;
August 2009;LPPT: Lisboa;720608;
July 2009;LPPT: Lisboa;719085;
June 2009;LPPT: Lisboa;565831;
May 2009;LPPT: Lisboa;564336;
April 2009;LPPT: Lisboa;604401;
March 2009;LPPT: Lisboa;469526;
February 2009;LPPT: Lisboa;400229;
January 2009;LPPT: Lisboa;424982;
December 2008;LPPT: Lisboa;490520;
November 2008;LPPT: Lisboa;434588;
October 2008;LPPT: Lisboa;562553;
September 2008;LPPT: Lisboa;637830;
August 2008;LPPT: Lisboa;727666;
July 2008;LPPT: Lisboa;718083;
June 2008;LPPT: Lisboa;597411;
May 2008;LPPT: Lisboa;597930;
April 2008;LPPT: Lisboa;541472;
March 2008;LPPT: Lisboa;568487;
February 2008;LPPT: Lisboa;437950;
January 2008;LPPT: Lisboa;438486;
December 2007;LPPT: Lisboa;483845;
November 2007;LPPT: Lisboa;466856;
October 2007;LPPT: Lisboa;581936;
September 2007;LPPT: Lisboa;647643;
August 2007;LPPT: Lisboa;709752;
July 2007;LPPT: Lisboa;707040;
June 2007;LPPT: Lisboa;567819;
May 2007;LPPT: Lisboa;567280;
April 2007;LPPT: Lisboa;581859;
March 2007;LPPT: Lisboa;496355;
February 2007;LPPT: Lisboa;397173;
January 2007;LPPT: Lisboa;404342;
December 2006;LPPT: Lisboa;461855;
November 2006;LPPT: Lisboa;408791;
October 2006;LPPT: Lisboa;536648;
September 2006;LPPT: Lisboa;582197;
August 2006;LPPT: Lisboa;652578;
July 2006;LPPT: Lisboa;638311;
June 2006;LPPT: Lisboa;519870;
May 2006;LPPT: Lisboa;529309;
April 2006;LPPT: Lisboa;568402;
March 2006;LPPT: Lisboa;444293;
February 2006;LPPT: Lisboa;349880;
January 2006;LPPT: Lisboa;371871;
December 2005;LPPT: Lisboa;408548;
November 2005;LPPT: Lisboa;365355;
October 2005;LPPT: Lisboa;465090;
September 2005;LPPT: Lisboa;533382;
August 2005;LPPT: Lisboa;614812;
July 2005;LPPT: Lisboa;581585;
June 2005;LPPT: Lisboa;476461;
May 2005;LPPT: Lisboa;478889;
April 2005;LPPT: Lisboa;459344;
March 2005;LPPT: Lisboa;443095;
February 2005;LPPT: Lisboa;333955;
January 2005;LPPT: Lisboa;352293;
December 2004;LPPT: Lisboa;374071;
November 2004;LPPT: Lisboa;336907;
October 2004;LPPT: Lisboa;443223;
September 2004;LPPT: Lisboa;506500;
August 2004;LPPT: Lisboa;590561;
July 2004;LPPT: Lisboa;540305;
June 2004;LPPT: Lisboa;490559;
