
Statistical table extracted on October 25, 2024 (09:35:52)
http://www.ine.pt



Data reference period;Geographic localization;Disembarked passengers (No.) in airports by Geographic localization, Type of traffic and Nature of traffic -  Monthly;
;;Type of traffic;
;;Total;
;;Nature of traffic;
;;Total;
;;No. ;
November 1966;LPPT: Lisboa;27401;
October 1966;LPPT: Lisboa;45844;
September 1966;LPPT: Lisboa;54459;
August 1966;LPPT: Lisboa;52645;
July 1966;LPPT: Lisboa;57024;
June 1966;LPPT: Lisboa;48619;
May 1966;LPPT: Lisboa;47065;
April 1966;LPPT: Lisboa;44573;
March 1966;LPPT: Lisboa;33452;
February 1966;LPPT: Lisboa;22638;
January 1966;LPPT: Lisboa;22009;
December 1965;LPPT: Lisboa;22436;
November 1965;LPPT: Lisboa;24095;
October 1965;LPPT: Lisboa;38668;
September 1965;LPPT: Lisboa;45369;
August 1965;LPPT: Lisboa;45479;
July 1965;LPPT: Lisboa;44766;
June 1965;LPPT: Lisboa;39625;
May 1965;LPPT: Lisboa;42497;
April 1965;LPPT: Lisboa;36761;
March 1965;LPPT: Lisboa;28041;
February 1965;LPPT: Lisboa;19902;
January 1965;LPPT: Lisboa;19427;
December 1964;LPPT: Lisboa;20896;
November 1964;LPPT: Lisboa;21035;
October 1964;LPPT: Lisboa;33746;
September 1964;LPPT: Lisboa;36934;
August 1964;LPPT: Lisboa;37415;
July 1964;LPPT: Lisboa;36493;
June 1964;LPPT: Lisboa;34204;
May 1964;LPPT: Lisboa;32696;
April 1964;LPPT: Lisboa;26711;
March 1964;LPPT: Lisboa;21331;
February 1964;LPPT: Lisboa;15171;
January 1964;LPPT: Lisboa;14636;
December 1963;LPPT: Lisboa;15241;
November 1963;LPPT: Lisboa;14785;
October 1963;LPPT: Lisboa;25587;
September 1963;LPPT: Lisboa;24680;
August 1963;LPPT: Lisboa;28970;
July 1963;LPPT: Lisboa;27345;
June 1963;LPPT: Lisboa;26689;
May 1963;LPPT: Lisboa;26274;
April 1963;LPPT: Lisboa;20862;
March 1963;LPPT: Lisboa;18681;
February 1963;LPPT: Lisboa;11549;
January 1963;LPPT: Lisboa;11265;

Disembarked passengers (No.) in airports by Geographic localization, Type of traffic and Nature of traffic -  Monthly - Statistics Portugal, Airports and airfields survey


This data last updated:october 15, 2024


Table Metadata

Disembarked passengers (No.) in Airports
Name;Disembarked passengers (No.) in airports by Geographic localization, Type of traffic and Nature of traffic -  Monthly
Regularity;Monthly
Source;Statistics Portugal, Airports and airfields survey
First available period;January 1963
Last available period;August 2024
Dimensions
     Dimension 1;Data reference period (Month)
     Dimension 2;Geographic localization
     Dimension 3;Type of traffic
     Dimension 4;Nature of traffic
Concepts
     REFERENCE PERIOD;Period to which the information refers and which may be a specific day or a time interval (month, fiscal year, calendar year, among others).
     AIRPORT;Any area available for landing and take-off of commercial flights.
Definition;
Formule;
Measure unit (symbol);Number (No.)
Power of 10;0
Last update date;15-Out-2024
